roi,neuron_count
ME_L_col_26_14,943
ME_L_col_16_16,943
ME_L_col_21_10,943
ME_R_col_16_18,942
ME_R_col_17_11,942
ME_R_col_19_09,942
ME_L_col_18_13,942
ME_R_col_13_26,942
ME_R_col_21_20,942
ME_R_col_20_22,942
ME_L_col_20_13,941
ME_L_col_20_17,941
ME_R_col_21_18,941
ME_R_col_14_10,941
ME_R_col_20_19,941
ME_L_col_22_17,940
ME_R_col_30_22,940
ME_R_col_23_11,939
ME_R_col_25_14,939
ME_R_col_14_15,939
ME_R_col_30_32,939
ME_L_col_15_19,939
ME_L_col_08_23,939
ME_L_col_22_14,939
ME_R_col_18_10,939
ME_R_col_17_14,938
ME_L_col_18_16,938
ME_R_col_18_11,938
ME_R_col_20_09,938
ME_R_col_31_25,938
ME_R_col_22_17,938
ME_R_col_22_20,938
ME_L_col_15_17,938
ME_L_col_30_24,938
ME_R_col_27_25,937
ME_R_col_27_20,937
ME_R_col_21_10,936
ME_L_col_29_30,936
ME_L_col_18_19,936
ME_R_col_15_18,935
ME_L_col_17_22,935
ME_R_col_14_25,935
ME_R_col_16_24,935
ME_R_col_14_30,934
ME_L_col_26_17,934
ME_R_col_27_21,934
ME_L_col_17_18,934
ME_L_col_29_20,934
ME_R_col_17_16,934
ME_R_col_27_19,934
ME_R_col_15_24,933
ME_R_col_18_18,933
ME_R_col_17_13,933
ME_L_col_20_12,933
ME_R_col_27_15,933
ME_R_col_17_23,933
ME_L_col_22_13,933
ME_L_col_22_18,932
ME_R_col_19_21,932
ME_L_col_18_17,932
ME_L_col_20_14,932
ME_L_col_17_16,932
ME_R_col_24_21,932
ME_L_col_23_21,931
ME_R_col_17_27,930
ME_R_col_28_24,930
ME_L_col_20_08,930
ME_R_col_13_28,930
ME_R_col_13_15,929
ME_L_col_27_16,929
ME_L_col_19_08,929
ME_R_col_14_14,929
ME_L_col_17_10,928
ME_R_col_16_21,928
ME_L_col_17_11,928
ME_R_col_27_22,928
ME_L_col_27_15,928
ME_L_col_15_13,927
ME_R_col_20_20,927
ME_R_col_13_10,927
ME_R_col_18_20,927
ME_L_col_19_10,927
ME_L_col_19_12,927
ME_R_col_18_16,927
ME_R_col_27_18,927
ME_L_col_21_14,927
ME_L_col_16_19,927
ME_R_col_15_14,926
ME_R_col_13_29,926
ME_L_col_28_20,925
ME_L_col_23_19,925
ME_R_col_19_23,925
ME_L_col_27_27,924
ME_R_col_18_21,924
ME_R_col_22_10,924
ME_R_col_21_22,924
ME_R_col_17_24,924
ME_R_col_20_08,924
ME_R_col_23_21,924
ME_R_col_15_08,923
ME_R_col_31_24,923
ME_R_col_20_17,923
ME_R_col_19_22,923
ME_L_col_19_20,923
ME_R_col_16_13,923
ME_R_col_25_30,923
ME_R_col_21_21,923
ME_L_col_21_16,922
ME_L_col_19_13,922
ME_L_col_18_12,922
ME_L_col_15_18,921
ME_L_col_16_21,921
ME_L_col_21_15,921
ME_R_col_12_14,921
ME_L_col_23_11,921
ME_L_col_21_13,920
ME_R_col_26_18,920
ME_R_col_20_21,920
ME_L_col_23_10,920
ME_R_col_27_26,920
ME_R_col_28_16,920
ME_R_col_19_10,919
ME_L_col_26_18,919
ME_R_col_14_23,919
ME_R_col_28_34,919
ME_L_col_25_14,919
ME_R_col_24_30,919
ME_R_col_30_21,919
ME_R_col_15_06,918
ME_R_col_16_07,918
ME_L_col_19_19,918
ME_R_col_14_17,918
ME_R_col_21_09,917
ME_R_col_29_35,917
ME_L_col_27_29,917
ME_L_col_16_09,917
ME_R_col_13_08,916
ME_L_col_21_17,916
ME_R_col_17_21,916
ME_R_col_18_09,916
ME_L_col_25_16,916
ME_R_col_29_23,915
ME_L_col_23_22,915
ME_R_col_15_07,915
ME_R_col_15_12,915
ME_R_col_15_11,915
ME_L_col_24_21,915
ME_R_col_30_28,914
ME_L_col_21_12,914
ME_L_col_24_12,914
ME_R_col_26_16,914
ME_L_col_17_19,914
ME_R_col_17_08,914
ME_R_col_20_23,914
ME_R_col_14_20,913
ME_R_col_14_19,913
ME_R_col_30_26,913
ME_R_col_16_25,912
ME_L_col_28_17,912
ME_R_col_27_16,912
ME_R_col_14_24,912
ME_R_col_28_19,912
ME_R_col_19_24,912
ME_L_col_23_20,912
ME_R_col_25_13,911
ME_R_col_15_23,911
ME_R_col_12_21,910
ME_R_col_11_27,910
ME_R_col_13_13,910
ME_L_col_25_21,910
ME_R_col_14_11,910
ME_R_col_17_20,910
ME_R_col_25_21,910
ME_L_col_12_29,909
ME_R_col_14_18,909
ME_R_col_14_08,909
ME_R_col_09_24,909
ME_L_col_30_20,909
ME_L_col_19_21,909
ME_R_col_16_31,909
ME_R_col_15_13,909
ME_R_col_16_10,909
ME_R_col_25_33,909
ME_L_col_17_07,909
ME_R_col_29_32,909
ME_R_col_13_07,909
ME_R_col_30_23,909
ME_R_col_15_27,908
ME_L_col_11_25,908
ME_R_col_31_30,908
ME_L_col_23_12,908
ME_L_col_16_08,908
ME_R_col_28_18,908
ME_R_col_15_19,908
ME_R_col_19_11,908
ME_R_col_13_16,908
ME_L_col_19_17,908
ME_L_col_14_13,908
ME_R_col_18_08,908
ME_L_col_25_13,907
ME_R_col_12_09,907
ME_R_col_30_20,907
ME_R_col_17_17,907
MesoLN(R),907
ME_R_col_16_27,907
ME_R_col_25_34,907
ME_R_col_15_22,907
ME_R_col_27_24,907
ME_R_col_29_31,906
ME_L_col_30_22,906
ME_R_col_16_08,906
ME_R_col_27_34,906
ME_L_col_24_18,906
ME_R_col_11_25,906
ME_R_col_14_13,906
ME_R_col_16_06,906
ME_L_col_20_16,905
ME_R_col_15_25,905
ME_R_col_19_26,905
ME_R_col_14_22,905
ME_L_col_17_14,905
ME_L_col_18_09,905
ME_R_col_15_30,905
ME_R_col_15_16,904
ME_R_col_22_31,904
ME_R_col_25_25,904
ME_L_col_10_25,904
ME_R_col_28_21,904
ME_R_col_14_21,904
ME_R_col_21_31,903
ME_R_col_14_12,903
ME_L_col_31_24,903
ME_R_col_28_35,903
ME_L_col_26_25,903
ME_R_col_29_21,902
ME_L_col_14_18,902
ME_R_col_25_23,902
