type,count
IN11B013,10
SNxx15,10
INXXX363,10
INXXX436,10
IN07B086,10
IN20A.22A015,10
IN13A035,10
IN03A064,10
IN06A106,10
IN23B056,10
IN14A023,10
IN07B079,10
IN13B079,10
IN08A034,10
IN19B089,10
IN12B059,10
IN12A044,10
IN08A047,10
IN13B056,10
IN16B077,10
IN08A031,10
SNpp61,10
SNpp48,10
IN20A.22A043,10
IN06B074,10
IN16B099,10
IN19B071,10
IN12B056,10
INXXX295,10
IN11B020,10
IN06A104,10
IN11B023,10
SNch05,10
ANXXX202,9
AN07B062,9
AN07B085,9
AN19B104,9
IN08A050,9
IN08B085_a,9
INXXX230,9
IN00A031,9
IN07B055,9
IN04B031,9
IN23B043,9
IN03A066,9
IN13A029,9
IN13B026,9
IN03A069,9
IN04B013,9
IN06B069,9
IN01B020,9
IN19B043,9
IN14A090,9
IN16B061,9
IN03A060,9
IN13A047,9
IN19B090,9
IN10B028,9
IN13A030,9
IN07B054,9
IN08A048,9
ltm1-tibia MN,9
"IN09A056,IN09A072",9
IN11B014,9
IN13B044,9
IN20A.22A019,9
IN14A052,9
IN06B078,9
SNpp62,9
IN09A047,9
IN02A049,9
IN20A.22A050,9
IN06B056,9
IN03B070,9
IN07B099,9
IN23B049,9
IN04B015,9
IN23B074,9
IN01A073,9
IN19B086,9
IN06B080,9
IN20A.22A047,9
IN09A074,9
IN06B064,9
IN07B066,9
IN01A070,9
IN20A.22A065,9
IN05B091,9
IN20A.22A059,9
IN03B064,9
IN23B089,9
IN20A.22A086,9
IN07B100,9
IN09A071,9
IN03B086_d,9
IN09A096,9
IN03B088,9
AN05B097,8
AN09B023,8
EN00B026,8
AN17A015,8
AN09B018,8
DNg12_a,8
DNge115,8
DNge085,8
DNpe054,8
ANXXX084,8
"SApp11,SApp18",8
AN07B049,8
SApp13,8
AN08B079_b,8
LgAG4,8
LgAG8,8
AN10B034,8
SNpp30,8
Tergopleural/Pleural promotor MN,8
IN03B035,8
IN19A008,8
INXXX044,8
INXXX126,8
IN23B009,8
INXXX297,8
IN12B035,8
IN09A006,8
vPR6,8
IN13A034,8
DLMn c-f,8
IN12B020,8
INXXX440,8
IN21A017,8
IN06A063,8
IN19B068,8
IN23B008,8
IN12A036,8
IN19A096,8
IN13B050,8
IN20A.22A010,8
IN16B055,8
IN01A059,8
IN08B056,8
IN19B050,8
INXXX231,8
INXXX332,8
MNad14,8
INXXX315,8
IN03A033,8
MNad06,8
SNpp32,8
IN13A055,8
IN06B070,8
IN13A022,8
IN06A083,8
SNpp34,8
IN01A061,8
MNad17,8
MNad16,8
IN11A003,8
MNad11,8
IN13B087,8
IN13A020,8
IN01A040,8
IN02A023,8
IN03A091,8
INXXX364,8
IN20A.22A042,8
IN16B052,8
INXXX341,8
IN08B082,8
IN08A037,8
IN23B040,8
IN13B033,8
IN03A077,8
IN23B087,8
IN12B023,8
IN20A.22A044,8
IN12B053,8
IN06A019,8
IN21A051,8
IN20A.22A022,8
IN01B026,8
GFC4,8
INXXX321,8
IN12B052,8
IN06A094,8
IN04B108,8
"SNta22,SNta33",8
IN12A042,8
IN12B038,8
IN14A029,8
IN14A086,8
IN07B096_b,8
"IN06A126,IN06A137",8
IN13B035,8
IN03B079,8
IN12B071,8
IN13A040,8
IN16B073,8
IN04B077,8
IN19A099,8
IN04B112,8
IN01B033,8
