roi,neuron_count
ME_L_col_18_16,937
ME_R_col_22_20,937
ME_R_col_14_15,937
ME_L_col_22_14,937
ME_L_col_30_24,937
ME_R_col_17_14,936
ME_L_col_15_17,936
ME_R_col_31_25,936
ME_R_col_25_14,936
ME_R_col_27_25,936
ME_R_col_21_10,936
ME_R_col_20_09,936
ME_L_col_17_22,935
ME_L_col_29_30,935
ME_L_col_18_19,934
ME_R_col_27_21,933
ME_L_col_26_17,933
ME_R_col_27_19,933
ME_R_col_15_18,933
ME_R_col_14_30,933
ME_R_col_14_25,932
ME_L_col_29_20,932
ME_L_col_20_12,932
ME_R_col_15_24,932
ME_R_col_17_13,932
ME_R_col_17_16,932
ME_R_col_16_24,932
ME_L_col_17_18,932
ME_L_col_22_13,932
ME_R_col_18_18,932
ME_L_col_17_16,931
ME_R_col_27_15,931
ME_L_col_18_17,931
ME_R_col_17_23,931
ME_L_col_23_21,930
ME_L_col_20_14,930
ME_R_col_19_21,930
ME_L_col_22_18,930
ME_R_col_17_27,930
ME_R_col_24_21,930
ME_L_col_20_08,929
ME_L_col_27_16,929
ME_R_col_28_24,928
ME_L_col_19_08,928
ME_R_col_27_22,927
ME_R_col_16_21,927
ME_R_col_14_14,927
ME_R_col_13_28,927
ME_L_col_17_11,927
ME_L_col_15_13,927
ME_L_col_27_15,927
ME_R_col_13_15,927
ME_R_col_13_10,926
ME_L_col_17_10,926
ME_L_col_16_19,926
ME_R_col_18_16,926
ME_R_col_18_20,925
ME_R_col_20_20,925
ME_L_col_19_10,925
ME_L_col_21_14,925
ME_R_col_13_29,925
ME_L_col_28_20,925
ME_R_col_27_18,925
ME_L_col_19_12,924
ME_R_col_17_24,924
ME_L_col_27_27,924
ME_R_col_19_23,924
ME_R_col_22_10,923
ME_L_col_23_19,923
ME_R_col_16_13,923
ME_R_col_21_21,923
ME_R_col_25_30,923
ME_R_col_31_24,922
ME_R_col_19_22,922
ME_R_col_15_14,922
ME_R_col_23_21,922
ME_R_col_15_08,922
ME_R_col_18_21,922
ME_R_col_20_08,921
ME_R_col_20_17,921
ME_L_col_19_20,921
ME_R_col_21_22,921
ME_R_col_12_14,920
ME_L_col_23_10,920
ME_L_col_15_18,920
ME_L_col_21_16,920
ME_L_col_18_12,919
ME_L_col_21_13,919
ME_L_col_25_14,919
ME_L_col_23_11,919
ME_R_col_28_34,919
ME_L_col_19_13,919
